ENSMUSG00000089978	Crb1-ps
ENSMUSG00000085574	Gm13053
ENSMUSG00000090104	Slmapos2
ENSMUSG00000097923	Gm26577
ENSMUSG00000106498	Gm43032
ENSMUSG00000105963	Gm43647
ENSMUSG00000106550	Gm43646
ENSMUSG00000090582	Gm17024
ENSMUSG00000108423	Gm44856
ENSMUSG00000111895	CAAA01066804.1
ENSMUSG00000097634	Gm26827
ENSMUSG00000110403	Gm45553
ENSMUSG00000109921	Gm45547
ENSMUSG00000104097	Gm37313
ENSMUSG00000104376	Gm37516
ENSMUSG00000108686	Gm45080
ENSMUSG00000112253	RP23-396D12.1
ENSMUSG00000112260	RP23-113J19.1
ENSMUSG00000087542	Gm15878
ENSMUSG00000096318	Astx4a
ENSMUSG00000107497	Gm44957
ENSMUSG00000104053	Gm38126
ENSMUSG00000104302	Gm36975
ENSMUSG00000103200	Gm37328
ENSMUSG00000104518	Gm37162
ENSMUSG00000108583	Gm44854
ENSMUSG00000104020	Gm37215
ENSMUSG00000103632	Gm38329
ENSMUSG00000092346	Tlx1os
ENSMUSG00000104026	Gm37212
ENSMUSG00000103693	Gm37529
ENSMUSG00000091784	Gm17022
ENSMUSG00000103391	Gm38302
ENSMUSG00000109229	Gm44858
ENSMUSG00000102172	Gm37873
ENSMUSG00000100946	Gm28473
ENSMUSG00000100420	Gm28616
ENSMUSG00000101851	Gm28474
ENSMUSG00000105809	Gm42626
ENSMUSG00000103500	Gm38373
ENSMUSG00000098121	Gm27038
ENSMUSG00000109669	Gm45472
ENSMUSG00000103489	Gm37998
ENSMUSG00000100531	Gm28475
ENSMUSG00000106097	Gm42625
ENSMUSG00000109119	Gm44752
ENSMUSG00000099483	Gm28476
ENSMUSG00000109794	Gm45571
ENSMUSG00000106795	Gm43050
ENSMUSG00000099498	Gm29283
ENSMUSG00000081678	Gm12959
ENSMUSG00000105227	Gm42624
ENSMUSG00000100399	Gm28491
ENSMUSG00000103796	Gm38094
ENSMUSG00000102688	Gm37218
ENSMUSG00000082899	Gm12379
ENSMUSG00000102057	Gm29594
ENSMUSG00000107909	Gm44143
ENSMUSG00000111876	RP23-255F14.9
ENSMUSG00000111149	RP23-255F14.8
ENSMUSG00000111563	RP23-255F14.7
ENSMUSG00000094789	Gm28490
ENSMUSG00000099625	Gm29325
ENSMUSG00000083300	Gm12309
ENSMUSG00000102365	Gm37045
ENSMUSG00000100881	Gm21824
ENSMUSG00000105679	Gm43338
ENSMUSG00000110494	Gm45775
ENSMUSG00000110520	Gm45776
ENSMUSG00000102410	Gm36935
ENSMUSG00000112548	RP23-408N24.1
ENSMUSG00000112595	RP23-398F20.1
ENSMUSG00000112556	RP23-113I7.3
ENSMUSG00000112197	RP23-113I7.2
ENSMUSG00000083334	Gm13579
ENSMUSG00000104698	Gm42602
ENSMUSG00000084947	Gm15594
ENSMUSG00000106944	Gm43843
ENSMUSG00000083150	Gm11852
ENSMUSG00000103072	Gm37905
ENSMUSG00000112748	RP23-282P18.2
ENSMUSG00000087402	Gm11867
ENSMUSG00000083005	Gm12392
ENSMUSG00000109930	Gm45649
ENSMUSG00000108298	Gm44226
ENSMUSG00000082784	Gm15957
ENSMUSG00000080919	Gm11854
ENSMUSG00000111817	RP23-340G24.8
ENSMUSG00000091177	Gm15494
ENSMUSG00000111948	RP23-408N24.2
ENSMUSG00000112872	RP23-330O8.2
ENSMUSG00000087525	Gm13062
ENSMUSG00000104658	Gm42877
ENSMUSG00000102283	Gm37000
ENSMUSG00000102593	Gm38384
ENSMUSG00000108221	Gm44203
ENSMUSG00000082436	Gm11688
ENSMUSG00000102625	Gm37672
ENSMUSG00000111623	RP23-186O3.14
ENSMUSG00000099020	Gm27159
ENSMUSG00000103880	Gm37009
ENSMUSG00000080850	Gm12439
ENSMUSG00000108130	Gm44019
ENSMUSG00000111471	RP24-296C19.4
ENSMUSG00000107732	Gm44204
ENSMUSG00000108361	Gm44796
ENSMUSG00000106957	Gm43085
ENSMUSG00000110854	RP24-174O15.4
ENSMUSG00000081475	Gm14558
ENSMUSG00000102457	Gm38342
ENSMUSG00000082022	Gm12386
ENSMUSG00000111379	RP24-174O15.3
ENSMUSG00000083091	Gm12438
ENSMUSG00000083197	Gm13581
ENSMUSG00000111405	RP23-213P10.2
ENSMUSG00000110967	RP23-395M5.7
ENSMUSG00000100951	Gm29339
ENSMUSG00000101068	Gm28759
ENSMUSG00000105871	Gm43147
ENSMUSG00000101405	Gm28758
ENSMUSG00000103384	Gm37753
ENSMUSG00000097330	Gm26672
ENSMUSG00000085043	Gm13184
ENSMUSG00000107570	Gm44207
ENSMUSG00000083869	Gm12442
ENSMUSG00000106112	Gm43434
ENSMUSG00000104426	Gm38369
ENSMUSG00000085753	Gm16131
ENSMUSG00000102195	Gm38168
ENSMUSG00000107336	Gm43461
ENSMUSG00000101761	Gm28297
ENSMUSG00000106891	Gm43460
ENSMUSG00000103119	Gm37583
ENSMUSG00000112189	RP23-282P18.4
ENSMUSG00000084986	Gm16224
ENSMUSG00000111200	RP23-395M5.8
ENSMUSG00000107246	Gm42560
ENSMUSG00000109911	Gm45525
ENSMUSG00000097816	Gm26811
ENSMUSG00000090105	Gm15890
ENSMUSG00000089712	Gm15889
ENSMUSG00000105377	Gm43148
ENSMUSG00000082144	Gm12788
ENSMUSG00000102612	Gm37845
ENSMUSG00000102634	Gm38225
ENSMUSG00000105257	Gm43144
ENSMUSG00000104512	Gm37165
ENSMUSG00000096777	Gm21723
ENSMUSG00000107882	Gm44278
ENSMUSG00000111806	RP23-407B23.4
ENSMUSG00000109940	Gm45399
ENSMUSG00000093768	Gm20650
ENSMUSG00000105253	Gm42522
ENSMUSG00000105947	Gm43789
ENSMUSG00000102451	Gm37655
ENSMUSG00000102243	Gm37718
ENSMUSG00000099633	Gm29071
ENSMUSG00000104436	Gm37423
ENSMUSG00000102157	Gm37470
ENSMUSG00000105936	Gm43544
ENSMUSG00000098340	Gm27253
ENSMUSG00000100449	Gm28757
ENSMUSG00000100400	Gm29326
ENSMUSG00000111534	RP23-213P10.1
ENSMUSG00000111506	RP23-134M7.1
ENSMUSG00000106503	Gm42827
ENSMUSG00000102725	Gm37939
ENSMUSG00000106260	Gm43524
ENSMUSG00000111613	RP23-134M7.2
ENSMUSG00000105789	Gm42997
ENSMUSG00000105716	Gm43522
ENSMUSG00000111161	RP23-134M7.3
ENSMUSG00000111263	RP23-331I13.1
ENSMUSG00000087079	Gm13389
ENSMUSG00000103412	Gm37340
ENSMUSG00000103003	Gm38076
ENSMUSG00000102537	Gm37224
ENSMUSG00000104002	Gm38336
ENSMUSG00000104358	Gm37127
ENSMUSG00000103303	Gm37802
ENSMUSG00000091289	Gm17051
ENSMUSG00000102828	Gm38182
ENSMUSG00000103245	Gm2071
ENSMUSG00000090427	Gm17225
ENSMUSG00000102291	Gm37542
ENSMUSG00000103125	Gm37388
ENSMUSG00000107084	Gm43269
ENSMUSG00000103956	Gm37118
ENSMUSG00000101779	Gm28170
ENSMUSG00000111274	RP24-340L11.5
ENSMUSG00000090684	Gm17221
ENSMUSG00000111569	RP24-340L11.6
ENSMUSG00000107063	Gm43277
ENSMUSG00000104591	Gm43145
ENSMUSG00000102796	Gm37711
ENSMUSG00000108543	Gm44735
ENSMUSG00000105695	Gm43327
ENSMUSG00000095334	Gm21984
ENSMUSG00000108612	Gm44634
ENSMUSG00000104054	Gm38131
ENSMUSG00000104073	Gm37029
ENSMUSG00000102998	Gm37763
ENSMUSG00000091745	Gm17098
ENSMUSG00000085894	Gm15832
ENSMUSG00000103306	Gm37801
ENSMUSG00000099055	Zfp-ps
ENSMUSG00000098520	Ranbp2-ps1
ENSMUSG00000100957	Gm28762
ENSMUSG00000112928	RP23-455D21.1
ENSMUSG00000107728	Gm43949
ENSMUSG00000103170	Gm37170
ENSMUSG00000104055	Gm38132
ENSMUSG00000108121	Gm43952
ENSMUSG00000103655	Gm37202
ENSMUSG00000103294	Gm38233
ENSMUSG00000104506	Gm37740
ENSMUSG00000102913	Gm37723
ENSMUSG00000110550	Gm45856
ENSMUSG00000087559	Gm13802
ENSMUSG00000103005	Gm37898
ENSMUSG00000108166	Gm44017
ENSMUSG00000111439	RP23-356D13.5
ENSMUSG00000087256	Gm15990
ENSMUSG00000085046	Gm11467
ENSMUSG00000111681	RP23-356D13.8
ENSMUSG00000086754	Gm16098
ENSMUSG00000112395	RP24-370M23.1
ENSMUSG00000112335	RP24-270K22.3
ENSMUSG00000111963	RP24-270K22.2
ENSMUSG00000112800	RP24-270K22.1
ENSMUSG00000112089	RP24-377N13.3
ENSMUSG00000112441	RP23-135A22.4
ENSMUSG00000111481	RP23-356D13.9
ENSMUSG00000081062	Gm13640
ENSMUSG00000105628	Gm43350
ENSMUSG00000106249	Gm43349
ENSMUSG00000106862	Gm42811
ENSMUSG00000105769	Gm43351
ENSMUSG00000106122	Gm42610
ENSMUSG00000107060	Gm42810
ENSMUSG00000085682	Gm14267
ENSMUSG00000107044	Gm43086
ENSMUSG00000087295	Gm11193
ENSMUSG00000099756	Gm28763
ENSMUSG00000104367	Gm38079
ENSMUSG00000105485	Gm42447
ENSMUSG00000098233	Gm26954
ENSMUSG00000106048	Gm42444
ENSMUSG00000104625	Gm42448
ENSMUSG00000104672	Gm43665
ENSMUSG00000105578	Gm43663
ENSMUSG00000105571	Gm43662
ENSMUSG00000110352	Gm45687
ENSMUSG00000110263	Gm45652
ENSMUSG00000109618	Gm45527
ENSMUSG00000101776	Gm28268
