probeId	geneId
1416055_at	ENSMUSG00000074267
1416055_at	ENSMUSG00000074268
1416055_at	ENSMUSG00000079850
1416056_a_at	ENSMUSG00000031059
1416057_at	ENSMUSG00000031059
1416058_s_at	ENSMUSG00000025781
1416059_at	ENSMUSG00000027429
1416060_at	ENSMUSG00000020130
1416061_at	ENSMUSG00000020130
1416062_at	ENSMUSG00000020130
1416063_x_at	ENSMUSG00000030368
1416064_a_at	ENSMUSG00000026864
1416065_a_at	ENSMUSG00000031508
1416066_at	ENSMUSG00000030342
1416067_at	ENSMUSG00000001627
1416068_at	ENSMUSG00000031948
1416069_at	ENSMUSG00000021196
1416070_a_at	ENSMUSG00000001674
1416071_at	ENSMUSG00000001674
1416072_at	ENSMUSG00000016494
1416073_a_at	ENSMUSG00000020739
1416074_a_at	ENSMUSG00000030432
1416075_at	ENSMUSG00000021067
1416076_at	ENSMUSG00000041431
1416077_at	ENSMUSG00000030790
1416078_s_at	ENSMUSG00000000441
1416079_a_at	ENSMUSG00000029621
1416080_at	ENSMUSG00000028041
1416081_at	ENSMUSG00000031681
1416082_at	ENSMUSG00000020149
1416083_at	ENSMUSG00000024750
1416084_at	ENSMUSG00000024750
1416085_s_at	ENSMUSG00000024750
1416086_at	ENSMUSG00000029344
1416087_at	ENSMUSG00000004849
1416088_a_at	ENSMUSG00000063457
1416089_at	ENSMUSG00000063457
1416090_at	ENSMUSG00000021748
1416091_at	ENSMUSG00000032479
1416092_a_at	ENSMUSG00000032479
1416093_a_at	ENSMUSG00000029066
1416094_at	ENSMUSG00000031555
1416095_x_at	ENSMUSG00000078427
1416096_at	ENSMUSG00000021038
1416097_at	ENSMUSG00000049939
1416098_at	ENSMUSG00000007021
1416099_at	ENSMUSG00000079137
1416099_at	ENSMUSG00000063316
1416099_at	ENSMUSG00000073640
1416100_at	ENSMUSG00000016554
1416101_a_at	ENSMUSG00000036181
1416102_at	ENSMUSG00000022285
1416103_at	ENSMUSG00000022285
1416104_at	ENSMUSG00000018761
1416105_at	ENSMUSG00000025453
1416106_at	ENSMUSG00000073775
1416107_at	ENSMUSG00000020297
1416108_a_at	ENSMUSG00000032353
1416109_at	ENSMUSG00000028673
1416110_at	ENSMUSG00000033272
1416111_at	ENSMUSG00000015396
1416112_at	ENSMUSG00000035885
1416113_at	ENSMUSG00000019428
1416114_at	ENSMUSG00000029309
1416115_at	ENSMUSG00000040044
1416118_at	ENSMUSG00000034317
1416119_at	ENSMUSG00000028367
1416120_at	ENSMUSG00000020649
1416121_at	ENSMUSG00000024529
1416122_at	ENSMUSG00000000184
1416123_at	ENSMUSG00000000184
1416124_at	ENSMUSG00000000184
1416125_at	ENSMUSG00000024222
1416126_at	ENSMUSG00000027395
1416127_a_at	ENSMUSG00000026209
1416129_at	ENSMUSG00000028967
1416130_at	ENSMUSG00000079037
1416131_s_at	ENSMUSG00000015002
1416132_at	ENSMUSG00000015002
1416133_at	ENSMUSG00000015002
1416134_at	ENSMUSG00000006651
1416135_at	ENSMUSG00000035960
1416136_at	ENSMUSG00000031740
1416137_at	ENSMUSG00000021814
1416138_at	ENSMUSG00000021814
1416139_at	ENSMUSG00000023140
1416140_a_at	ENSMUSG00000032480
1416141_a_at	ENSMUSG00000063875
1416141_a_at	ENSMUSG00000028495
1416142_at	ENSMUSG00000028495
1416143_at	ENSMUSG00000022890
1416144_a_at	ENSMUSG00000029169
1416145_at	ENSMUSG00000029169
1416146_at	ENSMUSG00000020361
1416147_at	ENSMUSG00000020361
1416148_at	ENSMUSG00000022257
1416149_at	ENSMUSG00000046160
1416150_a_at	ENSMUSG00000071172
1416150_a_at	ENSMUSG00000078134
1416151_at	ENSMUSG00000071172
1416152_a_at	ENSMUSG00000071172
1416153_at	ENSMUSG00000079108
1416153_at	ENSMUSG00000021020
1416153_at	ENSMUSG00000073079
1416154_at	ENSMUSG00000021020
1416154_at	ENSMUSG00000073079
1416154_at	ENSMUSG00000079108
1416155_at	ENSMUSG00000015217
1416155_at	ENSMUSG00000062588
1416156_at	ENSMUSG00000021823
1416157_at	ENSMUSG00000021823
1416158_at	ENSMUSG00000030551
1416159_at	ENSMUSG00000030551
1416160_at	ENSMUSG00000030551
1416161_at	ENSMUSG00000022314
1416162_at	ENSMUSG00000022314
1416163_at	ENSMUSG00000035297
1416164_at	ENSMUSG00000021186
1416165_at	ENSMUSG00000056515
1416166_a_at	ENSMUSG00000025289
1416167_at	ENSMUSG00000025289
1416168_at	ENSMUSG00000000753
1416169_at	ENSMUSG00000062705
1416170_at	ENSMUSG00000005981
1416171_at	ENSMUSG00000070035
1416171_at	ENSMUSG00000022992
1416172_at	ENSMUSG00000020430
1416173_at	ENSMUSG00000020430
1416174_at	ENSMUSG00000027428
1416175_a_at	ENSMUSG00000008892
1416176_at	ENSMUSG00000066551
1416177_at	ENSMUSG00000037070
1416178_a_at	ENSMUSG00000030701
1416179_a_at	ENSMUSG00000032050
1416180_a_at	ENSMUSG00000032050
1416181_at	ENSMUSG00000038503
1416182_at	ENSMUSG00000004931
1416183_a_at	ENSMUSG00000030246
1416184_s_at	ENSMUSG00000046711
1416184_s_at	ENSMUSG00000078249
1416185_a_at	ENSMUSG00000028138
1416186_at	ENSMUSG00000028675
1416187_s_at	ENSMUSG00000028675
1416188_at	ENSMUSG00000000594
1416189_a_at	ENSMUSG00000030082
1416190_a_at	ENSMUSG00000030082
1416191_at	ENSMUSG00000030082
1416192_at	ENSMUSG00000006024
1416193_at	ENSMUSG00000027556
1416194_at	ENSMUSG00000028713
1416195_at	ENSMUSG00000006127
1416196_at	ENSMUSG00000032518
1416197_at	ENSMUSG00000024217
1416198_at	ENSMUSG00000016253
1416199_at	ENSMUSG00000031788
1416200_at	ENSMUSG00000024810
1416201_at	ENSMUSG00000017776
1416202_at	ENSMUSG00000004264
1416203_at	ENSMUSG00000004655
1416204_at	ENSMUSG00000023019
1416205_at	ENSMUSG00000045594
1416206_at	ENSMUSG00000056917
1416207_at	ENSMUSG00000009995
1416208_at	ENSMUSG00000047879
1416209_at	ENSMUSG00000021794
1416209_at	ENSMUSG00000091316
1416210_at	ENSMUSG00000032288
1416211_a_at	ENSMUSG00000029838
1416212_at	ENSMUSG00000028613
1416212_at	ENSMUSG00000028609
1416213_x_at	ENSMUSG00000014867
1416214_at	ENSMUSG00000022673
1416215_at	ENSMUSG00000010392
1416216_at	ENSMUSG00000019854
1416217_a_at	ENSMUSG00000046330
1416217_a_at	ENSMUSG00000090467
1416219_at	ENSMUSG00000017404
1416220_at	ENSMUSG00000021917
1416221_at	ENSMUSG00000022816
1416222_at	ENSMUSG00000031349
1416223_at	ENSMUSG00000013646
1416224_at	ENSMUSG00000006215
1416225_at	ENSMUSG00000074207
1416226_at	ENSMUSG00000029622
1416227_at	ENSMUSG00000029622
1416228_at	ENSMUSG00000032171
1416229_at	ENSMUSG00000024712
1416230_at	ENSMUSG00000024712
1416231_at	ENSMUSG00000010936
1416232_at	ENSMUSG00000039830
1416233_at	ENSMUSG00000028798
1416234_at	ENSMUSG00000020869
1416235_at	ENSMUSG00000020869
1416236_a_at	ENSMUSG00000032092
1416237_at	ENSMUSG00000032092
1416238_at	ENSMUSG00000033191
1416239_at	ENSMUSG00000076441
1416240_at	ENSMUSG00000026750
1416241_at	ENSMUSG00000030298
1416242_at	ENSMUSG00000036782
1416243_a_at	ENSMUSG00000078193
1416243_a_at	ENSMUSG00000091449
1416243_a_at	ENSMUSG00000056124
1416243_a_at	ENSMUSG00000062997
1416244_a_at	ENSMUSG00000030057
1416245_at	ENSMUSG00000065990
1416246_a_at	ENSMUSG00000030707
1416247_at	ENSMUSG00000028447
1416248_at	ENSMUSG00000029063
1416249_at	ENSMUSG00000029063
1416250_at	ENSMUSG00000020423
1416251_at	ENSMUSG00000026355
1416252_at	ENSMUSG00000024006
1416253_at	ENSMUSG00000066860
1416253_at	ENSMUSG00000079228
1416254_a_at	ENSMUSG00000027411
1416255_at	ENSMUSG00000050234
1416256_a_at	ENSMUSG00000001525
1416257_at	ENSMUSG00000026509
1416258_at	ENSMUSG00000025574
1416259_at	ENSMUSG00000018733
1416260_a_at	ENSMUSG00000032382
1416261_at	ENSMUSG00000069520
1416262_at	ENSMUSG00000069520
1416263_at	ENSMUSG00000029408
1416264_at	ENSMUSG00000029408
1416265_at	ENSMUSG00000026270
1416266_at	ENSMUSG00000027400
1416267_at	ENSMUSG00000063253
1416268_at	ENSMUSG00000022895
1416269_at	ENSMUSG00000038690
1416270_at	ENSMUSG00000071662
1416271_at	ENSMUSG00000019851
1416272_at	ENSMUSG00000059039
1416272_at	ENSMUSG00000091512
1416273_at	ENSMUSG00000021281
1416274_at	ENSMUSG00000005949
1416276_a_at	ENSMUSG00000031320
1416277_a_at	ENSMUSG00000060019
1416277_a_at	ENSMUSG00000007892
1416278_a_at	ENSMUSG00000042962
1416278_a_at	ENSMUSG00000022956
1416279_at	ENSMUSG00000009090
1416280_at	ENSMUSG00000052997
1416281_at	ENSMUSG00000025173
1416282_at	ENSMUSG00000002102
1416283_at	ENSMUSG00000022962
1416284_at	ENSMUSG00000024181
1416285_at	ENSMUSG00000037152
1416286_at	ENSMUSG00000038530
1416287_at	ENSMUSG00000038530
1416288_at	ENSMUSG00000028410
1416289_at	ENSMUSG00000019055
1416290_a_at	ENSMUSG00000030603
1416291_at	ENSMUSG00000030603
1416292_at	ENSMUSG00000024997
1416293_at	ENSMUSG00000008575
1416294_at	ENSMUSG00000028049
1416295_a_at	ENSMUSG00000031304
1416296_at	ENSMUSG00000031304
1416297_s_at	ENSMUSG00000071356
1416298_at	ENSMUSG00000017737
1416299_at	ENSMUSG00000022322
1416300_a_at	ENSMUSG00000061904
1416301_a_at	ENSMUSG00000057098
1416302_at	ENSMUSG00000057098
1416303_at	ENSMUSG00000022500
1416304_at	ENSMUSG00000022500
1416305_at	ENSMUSG00000036206
1416306_at	ENSMUSG00000028255
1416307_at	ENSMUSG00000003033
1416308_at	ENSMUSG00000029201
1416309_at	ENSMUSG00000027306
1416310_at	ENSMUSG00000027306
1416311_s_at	ENSMUSG00000067338
1416311_s_at	ENSMUSG00000067702
1416312_at	ENSMUSG00000018848
1416313_at	ENSMUSG00000053192
1416314_at	ENSMUSG00000053192
1416315_at	ENSMUSG00000040997
1416316_at	ENSMUSG00000027359
1416317_a_at	ENSMUSG00000006906
1416318_at	ENSMUSG00000044734
1416319_at	ENSMUSG00000039197
1416320_at	ENSMUSG00000034473
1416321_s_at	ENSMUSG00000041577
1416322_at	ENSMUSG00000041577
1416323_at	ENSMUSG00000005936
1416324_s_at	ENSMUSG00000005936
1416325_at	ENSMUSG00000025431
1416326_at	ENSMUSG00000006360
1416327_at	ENSMUSG00000062963
1416328_a_at	ENSMUSG00000015575
1416329_at	ENSMUSG00000030447
1416330_at	ENSMUSG00000037706
1416331_a_at	ENSMUSG00000038615
1416332_at	ENSMUSG00000045193
1416333_at	ENSMUSG00000022102
1416334_at	ENSMUSG00000004637
1416335_at	ENSMUSG00000033307
1416336_s_at	ENSMUSG00000002477
1416337_at	ENSMUSG00000021520
1416338_at	ENSMUSG00000003200
1416339_a_at	ENSMUSG00000003402
1416340_a_at	ENSMUSG00000005142
1416341_at	ENSMUSG00000031783
1416342_at	ENSMUSG00000028364
1416343_a_at	ENSMUSG00000016534
1416344_at	ENSMUSG00000016534
1416345_at	ENSMUSG00000048007
1416346_at	ENSMUSG00000048007
1416346_at	ENSMUSG00000045455
1416347_at	ENSMUSG00000024947
1416348_at	ENSMUSG00000024947
1416349_at	ENSMUSG00000034880
1416350_at	ENSMUSG00000035397
1416351_at	ENSMUSG00000004936
1416352_s_at	ENSMUSG00000031708
1416353_at	ENSMUSG00000060601
1416354_at	ENSMUSG00000031134
1416355_at	ENSMUSG00000031134
1416356_at	ENSMUSG00000002326
1416357_a_at	ENSMUSG00000032135
1416358_at	ENSMUSG00000001082
1416359_at	ENSMUSG00000042364
1416360_at	ENSMUSG00000042364
1416361_a_at	ENSMUSG00000029757
1416362_a_at	ENSMUSG00000030357
1416363_at	ENSMUSG00000030357
1416364_at	ENSMUSG00000023944
1416365_at	ENSMUSG00000023944
1416366_at	ENSMUSG00000030647
1416367_at	ENSMUSG00000019689
1416368_at	ENSMUSG00000032348
1416369_at	ENSMUSG00000038212
1416370_at	ENSMUSG00000037017
1416371_at	ENSMUSG00000022548
