probeId	geneId
ILMN_1213781	ENSMUSG00000083624
ILMN_1213781	ENSMUSG00000090451
ILMN_1213781	ENSMUSG00000090807
ILMN_1213786	ENSMUSG00000038126
ILMN_1213787	ENSMUSG00000000731
ILMN_1213789	ENSMUSG00000042655
ILMN_1213799	ENSMUSG00000053093
ILMN_1213802	ENSMUSG00000034557
ILMN_1213804	ENSMUSG00000027253
ILMN_1213805	ENSMUSG00000035031
ILMN_1213808	ENSMUSG00000060743
ILMN_1213809	ENSMUSG00000050350
ILMN_1213811	ENSMUSG00000031844
ILMN_1213817	ENSMUSG00000066154
ILMN_1213824	ENSMUSG00000052477
ILMN_1213836	ENSMUSG00000022583
ILMN_1213838	ENSMUSG00000036452
ILMN_1213840	ENSMUSG00000019845
ILMN_1213848	ENSMUSG00000052632
ILMN_1213850	ENSMUSG00000079465
ILMN_1213855	ENSMUSG00000027963
ILMN_1213856	ENSMUSG00000067522
ILMN_1213857	ENSMUSG00000092040
ILMN_1213858	ENSMUSG00000028549
ILMN_1213862	ENSMUSG00000006676
ILMN_1213866	ENSMUSG00000036644
ILMN_1213868	ENSMUSG00000036452
ILMN_1213872	ENSMUSG00000038954
ILMN_1213873	ENSMUSG00000032051
ILMN_1213875	ENSMUSG00000087566
ILMN_1213880	ENSMUSG00000056782
ILMN_1213881	ENSMUSG00000042492
ILMN_1213882	ENSMUSG00000038930
ILMN_1213883	ENSMUSG00000047187
ILMN_1213886	ENSMUSG00000001493
ILMN_1213889	ENSMUSG00000030172
ILMN_1213899	ENSMUSG00000025737
ILMN_1213910	ENSMUSG00000041540
ILMN_1213911	ENSMUSG00000043923
ILMN_1213914	ENSMUSG00000038690
ILMN_1213915	ENSMUSG00000009470
ILMN_1213917	ENSMUSG00000047356
ILMN_1213920	ENSMUSG00000000439
ILMN_1213921	ENSMUSG00000032783
ILMN_1213922	ENSMUSG00000025036
ILMN_1213935	ENSMUSG00000001729
ILMN_1213939	ENSMUSG00000025043
ILMN_1213941	ENSMUSG00000035923
ILMN_1213947	ENSMUSG00000040322
ILMN_1213954	ENSMUSG00000019970
ILMN_1213958	ENSMUSG00000020986
ILMN_1213960	ENSMUSG00000031511
ILMN_1213963	ENSMUSG00000032555
ILMN_1213968	ENSMUSG00000090700
ILMN_1213971	ENSMUSG00000014668
ILMN_1213975	ENSMUSG00000023032
ILMN_1213978	ENSMUSG00000030223
ILMN_1213981	ENSMUSG00000030322
ILMN_1213982	ENSMUSG00000019088
ILMN_1213984	ENSMUSG00000082843
ILMN_1213985	ENSMUSG00000049881
ILMN_1213989	ENSMUSG00000038400
ILMN_1214000	ENSMUSG00000031340
ILMN_1214013	ENSMUSG00000070489
ILMN_1214015	ENSMUSG00000047507
ILMN_1214016	ENSMUSG00000039419
ILMN_1214024	ENSMUSG00000028396
ILMN_1214025	ENSMUSG00000003198
ILMN_1214031	ENSMUSG00000047671
